quote_date,paper,exch,open,high,low,close,volume,value
20120611,GOOGL,Nasdaq,292.11,292.66,283.35,284.25,4869046,2791953652
20120608,GOOGL,Nasdaq,287.93,290.50,287.29,290.23,2733388,1579939260
20120607,GOOGL,Nasdaq,293.80,293.94,288.62,289.12,3408028,1978481100
20120606,GOOGL,Nasdaq,288.24,290.99,286.81,290.29,3791962,2195385276
20120605,GOOGL,Nasdaq,287.73,289.06,283.24,285.20,4590680,2617823648
20120604,GOOGL,Nasdaq,285.11,290.25,285.00,289.30,4712074,2706929394
20120601,GOOGL,Nasdaq,285.89,286.32,284.18,285.49,5974668,3408999308
20120531,GOOGL,Nasdaq,294.36,295.00,289.50,290.43,5531604,3216776368
20120530,GOOGL,Nasdaq,294.08,295.95,291.76,294.12,3702094,2173963120
20120529,GOOGL,Nasdaq,297.90,299.56,294.16,297.17,5003430,2975130694
20120525,GOOGL,Nasdaq,300.50,300.87,294.14,295.76,7068632,4185913858
20120524,GOOGL,Nasdaq,304.58,305.96,299.43,301.83,3592748,2168578706
20120523,GOOGL,Nasdaq,300.82,304.80,298.56,304.73,6146358,3710602452
20120522,GOOGL,Nasdaq,306.72,306.90,298.00,300.40,5940054,3591221910
20120521,GOOGL,Nasdaq,300.25,307.85,300.00,307.06,5839894,3559932712
20120518,GOOGL,Nasdaq,312.55,316.21,298.35,300.20,11427990,7037405438
20120517,GOOGL,Nasdaq,316.92,318.93,310.62,311.52,6430728,4059252872
20120516,GOOGL,Nasdaq,308.98,315.05,307.97,314.46,7495832,4694067672
20120515,GOOGL,Nasdaq,302.68,307.50,301.88,305.56,4136004,2527804432
20120514,GOOGL,Nasdaq,300.39,304.25,300.29,302.00,3588660,2169937438
20120511,GOOGL,Nasdaq,305.18,307.27,302.38,302.62,4108870,2505201898
20120510,GOOGL,Nasdaq,306.48,308.10,305.12,306.83,2971016,1823036350
20120509,GOOGL,Nasdaq,303.41,308.19,300.90,304.57,4476018,2728927990
20120508,GOOGL,Nasdaq,302.76,308.45,300.35,306.39,5064756,3081179788
20120507,GOOGL,Nasdaq,297.50,305.29,297.50,303.77,3918550,2371208702
20120504,GOOGL,Nasdaq,302.96,303.94,298.40,298.49,4290042,2577024508
20120503,GOOGL,Nasdaq,304.81,307.42,304.48,305.51,3675850,2248917000
20120502,GOOGL,Nasdaq,300.60,304.06,300.31,303.63,2858362,1729086164
20120501,GOOGL,Nasdaq,301.89,305.80,300.10,302.21,3811260,2310703334
20120430,GOOGL,Nasdaq,306.50,308.04,300.31,302.43,4455590,2703749436
20120427,GOOGL,Nasdaq,307.51,308.37,305.30,307.49,3093134,1899252652
20120426,GOOGL,Nasdaq,305.45,309.00,304.85,307.74,4042276,2485516152
20120425,GOOGL,Nasdaq,302.00,305.68,301.44,304.86,3488648,2123631816
20120424,GOOGL,Nasdaq,299.12,303.31,298.66,300.63,3755928,2263710882
20120423,GOOGL,Nasdaq,296.45,299.23,295.10,298.80,4298944,2558191876
20120420,GOOGL,Nasdaq,302.12,304.43,297.92,298.03,5951648,3582324942
20120419,GOOGL,Nasdaq,302.85,308.13,299.50,299.65,6485506,3935036514
20120418,GOOGL,Nasdaq,304.02,306.40,301.40,303.73,5007720,3041811908
20120417,GOOGL,Nasdaq,304.28,308.85,303.50,304.79,5683472,3481504546
20120416,GOOGL,Nasdaq,311.50,311.90,300.83,303.04,10890612,6622279232
20120413,GOOGL,Nasdaq,323.77,324.50,311.77,312.30,15713714,9920716600
20120412,GOOGL,Nasdaq,321.18,326.57,320.13,325.50,8529036,5510703130
20120411,GOOGL,Nasdaq,316.99,318.00,315.65,317.98,4299314,2726651972
20120410,GOOGL,Nasdaq,316.76,317.25,312.27,313.43,4786348,3013200920
